"arcLength", "radius", "height", "normalX", "normalY", "thickness", "thickX", "thickY"
 1427.00100,      500,     1027,    2.000000,0.000000,    28.54002, 28.54002,  0.00000
 1428.00100,      500,     1028,    2.000000,0.000000,    28.56002, 28.56002,  0.00000
 1429.00100,      500,     1029,    2.000000,0.000000,    28.58002, 28.58002,  0.00000
 1430.00100,      500,     1030,    2.000000,0.000000,    28.60002, 28.60002,  0.00000
 1431.00100,      500,     1031,    2.000000,0.000000,    28.62002, 28.62002,  0.00000
 1432.00100,      500,     1032,    2.000000,0.000000,    28.64002, 28.64002,  0.00000
 1433.00100,      500,     1033,    2.000000,0.000000,    28.66002, 28.66002,  0.00000
 1434.00100,      500,     1034,    2.000000,0.000000,    28.68002, 28.68002,  0.00000
 1435.00100,      500,     1035,    2.000000,0.000000,    28.70002, 28.70002,  0.00000
 1436.00100,      500,     1036,    2.000000,0.000000,    28.72002, 28.72002,  0.00000
 1437.00100,      500,     1037,    2.000000,0.000000,    28.74002, 28.74002,  0.00000
 1438.00100,      500,     1038,    2.000000,0.000000,    28.76002, 28.76002,  0.00000
 1439.00100,      500,     1039,    2.000000,0.000000,    28.78002, 28.78002,  0.00000
 1440.00100,      500,     1040,    2.000000,0.000000,    28.80002, 28.80002,  0.00000
 1441.00100,      500,     1041,    2.000000,0.000000,    28.82002, 28.82002,  0.00000
 1442.00100,      500,     1042,    2.000000,0.000000,    28.84002, 28.84002,  0.00000
 1443.00100,      500,     1043,    2.000000,0.000000,    28.86002, 28.86002,  0.00000
 1444.00100,      500,     1044,    2.000000,0.000000,    28.88002, 28.88002,  0.00000
 1445.00100,      500,     1045,    2.000000,0.000000,    28.90002, 28.90002,  0.00000
 1446.00100,      500,     1046,    2.000000,0.000000,    28.92002, 28.92002,  0.00000
 1447.00100,      500,     1047,    2.000000,0.000000,    28.94002, 28.94002,  0.00000
 1448.00100,      500,     1048,    2.000000,0.000000,    28.96002, 28.96002,  0.00000
 1449.00100,      500,     1049,    2.000000,0.000000,    28.98002, 28.98002,  0.00000
 1450.00100,      500,     1050,    2.000000,0.000000,    29.00002, 29.00002,  0.00000
 1451.00100,      500,     1051,    2.000000,0.000000,    29.02002, 29.02002,  0.00000
 1452.00100,      500,     1052,    2.000000,0.000000,    29.04002, 29.04002,  0.00000
 1453.00100,      500,     1053,    2.000000,0.000000,    29.06002, 29.06002,  0.00000
 1454.00100,      500,     1054,    2.000000,0.000000,    29.08002, 29.08002,  0.00000
